arm,step,entropy,grad_norm,pg_loss,resp_len,reward,score,val_metric
SFT → RL (shaped),18,0.10546398162841797,2.04331111907959,0.02236892841756344,92.78125,0.6463056206703186,0.6463056206703186,
SFT → RL (shaped),19,0.12336235493421555,3.678436279296875,0.05224774265661836,75.34375,0.8032890558242798,0.8032890558242798,
SFT → RL (shaped),20,0.1189255341887474,5.081324100494385,-0.022005536826327443,67.4375,0.5867406725883484,0.5867406725883484,
SFT → RL (shaped),21,0.13127271831035614,2.602574110031128,0.01772947038989514,69.65625,0.9544711112976074,0.9544711112976074,
SFT → RL (shaped),22,0.13558833301067352,4.118894100189209,0.03550099581480026,75.21875,0.7376900315284729,0.7376900315284729,
SFT → RL (shaped),23,0.09088371694087982,1.3903688192367554,0.0014855163171887398,91.09375,0.5386759042739868,0.5386759042739868,
SFT → RL (shaped),24,0.1568373739719391,3.4382340908050537,0.012381403359540855,64.65625,0.7278676629066467,0.7278676629066467,
SFT → RL (shaped),25,0.14286555349826813,3.741363763809204,0.025412494782358408,86.40625,0.7131221294403076,0.7131221294403076,64.0
SFT → RL (shaped),26,0.1598774492740631,5.119646072387695,-0.003608441911637783,67.90625,0.76484215259552,0.76484215259552,
SFT → RL (shaped),27,0.15004786849021912,4.278423309326172,-0.011559770675376058,65.96875,0.6054332256317139,0.6054332256317139,
SFT → RL (shaped),28,0.1657094806432724,3.746929168701172,-0.039687334559857845,58.90625,0.8682480454444885,0.8682480454444885,
SFT → RL (shaped),29,0.14531707763671875,4.145650863647461,-0.011585594154894352,63.375,0.6252151727676392,0.6252151727676392,
SFT → RL (shaped),30,0.13172589242458344,4.626905918121338,0.02138215210288763,73.71875,0.7084308862686157,0.7084308862686157,
SFT → RL (shaped),31,0.14532522857189178,2.6222715377807617,-0.007503427914343774,74.09375,0.4909991919994354,0.4909991919994354,
SFT → RL (shaped),32,0.14367155730724335,2.1656692028045654,-3.725290298461914e-09,65.25,0.5172247290611267,0.5172247290611267,
SFT → RL (shaped),33,0.10740908980369568,3.449058771133423,-0.005669800564646721,75.65625,0.49094071984291077,0.49094071984291077,
SFT → RL (shaped),34,0.13307520747184753,3.9124457836151123,-0.0028037271076755133,70.53125,0.7139136791229248,0.7139136791229248,
SFT → RL (shaped),35,0.15013791620731354,6.291470050811768,0.01389668369665742,65.375,0.8486171364784241,0.8486171364784241,
SFT → RL (shaped),36,0.1251869946718216,4.502412796020508,0.0036267790710553527,74.25,0.595433235168457,0.595433235168457,
SFT → RL (shaped),37,0.12987110018730164,2.683272123336792,0.007794870529323816,64.8125,0.7316752672195435,0.7316752672195435,
SFT → RL (shaped),38,0.13562409579753876,3.9399847984313965,-0.029178105178289115,82.09375,0.5074732303619385,0.5074732303619385,
SFT → RL (shaped),39,0.12201976031064987,5.011995792388916,0.02307129604741931,75.875,0.5198845863342285,0.5198845863342285,
SFT → RL (shaped),40,0.07912742346525192,4.436733722686768,0.006790170446038246,71.34375,0.8947686553001404,0.8947686553001404,
SFT → RL (shaped),41,0.11088462173938751,1.9825880527496338,-0.0034983837977051735,69.625,0.7282878756523132,0.7282878756523132,
SFT → RL (shaped),42,0.12391294538974762,4.525357723236084,0.017077875323593616,63.0,0.8734593391418457,0.8734593391418457,
SFT → RL (shaped),43,0.10505731403827667,1.7825686931610107,5.666166543960571e-05,84.15625,0.612680196762085,0.612680196762085,
SFT → RL (shaped),44,0.1187521442770958,2.5843253135681152,-0.006169883534312248,65.84375,0.6919267177581787,0.6919267177581787,
SFT → RL (shaped),45,0.11073459684848785,2.4157180786132812,-0.010596636682748795,75.625,0.35749274492263794,0.35749274492263794,
SFT → RL (shaped),46,0.08932295441627502,2.511219024658203,-0.009993747808039188,84.71875,0.41046518087387085,0.41046518087387085,
SFT → RL (shaped),47,0.10267487168312073,2.5417470932006836,0.007078020833432674,80.375,0.28750571608543396,0.28750571608543396,
SFT → RL (shaped),48,0.10001999139785767,5.119416236877441,-0.0008604433387517929,67.06666564941406,0.7327689528465271,0.7327689528465271,
SFT → RL (shaped),49,0.11679214239120483,3.8257436752319336,-0.01537251751869917,73.65625,0.5707806944847107,0.5707806944847107,
